timestamp,episode,rounds,winrate_p1,winrate_p2,avg_kills_p1,avg_kills_p2,avg_alive_p1,avg_alive_p2,avg_score_p1,avg_score_p2
1771526585,1,1,1.0000,0.0000,5.0000,3.0000,99.7333,99.4667,-1217.8883,-854.7722
1771526586,1,1,0.0000,1.0000,0.0000,4.0000,170.8000,171.3333,-2519.4612,-2942.6501
1771526587,1,1,1.0000,0.0000,4.0000,1.0000,67.4667,67.0667,-1630.5577,-1391.4110
1771526587,1,1,1.0000,0.0000,3.0000,2.0000,88.2667,88.1333,-1148.9618,-954.0764
1771526588,1,1,1.0000,0.0000,3.0000,1.0000,76.5333,76.2667,-1787.4828,-931.8605
1771526589,1,1,1.0000,0.0000,3.0000,0.0000,118.6667,118.2667,-4404.1187,-3869.1795
1771526589,1,1,1.0000,0.0000,3.0000,0.0000,80.4000,80.0000,-2402.9014,-2727.9962
1771526591,1,1,0.0000,1.0000,0.0000,4.0000,20.2667,20.8000,-288.8307,721.5860
1771526592,1,1,0.0000,1.0000,1.0000,5.0000,55.7333,56.2667,-545.7620,631.3387
1771526592,1,1,0.0000,1.0000,0.0000,2.0000,87.7333,88.0000,-2502.3580,-1674.8713
1771526593,1,1,1.0000,0.0000,2.0000,0.0000,104.5333,104.2667,-6046.2661,-5018.0327
1771526594,1,1,1.0000,0.0000,3.0000,2.0000,78.8000,78.6667,-996.2160,-282.3822
1771526595,1,1,0.0000,1.0000,0.0000,3.0000,147.7333,148.1333,-6133.5948,-3768.9415
1771526595,1,1,0.0000,1.0000,3.0000,4.0000,70.2667,70.4000,-1026.5710,-253.2370
1771526595,1,1,1.0000,0.0000,4.0000,3.0000,78.2667,78.1333,-1005.9736,-1088.0339
1771526596,1,1,0.0000,1.0000,2.0000,4.0000,124.6667,124.9333,-2764.4314,-1360.4652
1771526596,1,1,0.0000,1.0000,2.0000,4.0000,96.6667,96.9333,-1722.0319,-699.0756
1771526597,1,1,1.0000,0.0000,3.0000,2.0000,68.2667,68.1333,-1355.8793,-293.7619
1771526598,1,1,1.0000,0.0000,3.0000,0.0000,96.1333,95.7333,-2440.5515,-2811.0508
1771526598,1,1,0.0000,1.0000,1.0000,4.0000,73.2000,73.6000,-1612.6127,-37.3175
1771526608,1,1,1.0000,0.0000,4.0000,3.0000,82.1333,82.0000,-1101.0686,-269.0426
1771526611,1,1,1.0000,0.0000,4.0000,1.0000,95.0667,94.6667,-2062.7085,-1319.8569
1771526612,1,1,1.0000,0.0000,2.0000,0.0000,59.8667,59.6000,-1178.9300,-2741.5545
1771526612,1,1,1.0000,0.0000,4.0000,2.0000,79.6000,79.3333,-809.2379,-598.5749
1771526612,1,1,0.0000,1.0000,5.0000,4.0000,66.1333,66.0000,5.0896,-462.2374
1771526612,1,1,1.0000,0.0000,1.0000,3.0000,107.7333,108.0000,-2412.1296,-358.0118
1771526613,1,1,0.0000,1.0000,0.0000,4.0000,92.5333,93.0667,-2639.7046,-1256.6646
1771526613,1,1,0.0000,1.0000,1.0000,2.0000,118.6667,118.8000,-4695.8758,-3251.6935
1771526615,1,1,1.0000,0.0000,4.0000,1.0000,101.3333,100.9333,-1781.8315,-1405.4902
1771526616,1,1,0.0000,1.0000,0.0000,4.0000,26.9333,27.4667,-393.5042,1667.9358
1771526618,1,1,0.0000,1.0000,1.0000,4.0000,52.0000,52.4000,-583.6833,82.3025
1771526620,1,1,1.0000,0.0000,3.0000,1.0000,123.4667,123.2000,-2528.9047,-2780.4458
1771526620,1,1,1.0000,0.0000,3.0000,1.0000,119.0667,118.8000,-2454.8676,-2053.3587
1771526620,1,1,1.0000,0.0000,2.0000,3.0000,119.3333,119.4667,-2465.9953,-1537.9935
1771526620,1,1,1.0000,0.0000,2.0000,2.0000,85.0667,85.0667,-1962.4232,-975.1088
1771526621,1,1,1.0000,0.0000,2.0000,4.0000,146.1333,146.4000,-2323.1142,-1979.1268
1771526621,1,1,1.0000,0.0000,5.0000,1.0000,60.1333,59.6000,-348.7539,-166.7124
1771526621,1,1,1.0000,0.0000,5.0000,0.0000,69.7333,69.0667,-445.1524,-1105.5026
1771526624,1,1,0.0000,1.0000,3.0000,4.0000,90.2667,90.4000,-1484.5587,-913.5275
1771526624,1,1,1.0000,0.0000,3.0000,0.0000,86.1333,85.7333,-1848.7042,-2059.8375
1771526625,1,1,0.0000,1.0000,1.0000,5.0000,77.4667,78.0000,-1260.1060,13.2037
1771526627,1,1,1.0000,0.0000,1.0000,0.0000,97.7333,97.6000,-8902.3993,-8919.0527
1771526628,1,1,1.0000,0.0000,3.0000,2.0000,96.4000,96.2667,-1657.5652,-1295.5812
1771526628,1,1,1.0000,0.0000,4.0000,3.0000,79.7333,79.6000,-592.3646,-292.3500
1771526630,1,1,1.0000,0.0000,2.0000,2.0000,111.6000,111.6000,-3285.0377,-2233.5355
